"work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size"
2024,"SE","FT","Machine Learning Engineer",127500,"USD",127500,"US",100,"US","M"
2024,"EX","FT","Data Engineer",225000,"USD",225000,"US",0,"US","M"
2023,"SE","FT","Data Scientist",160000,"USD",160000,"US",0,"US","M"
2023,"SE","FT","Data Scientist",176000,"USD",176000,"CA",0,"CA","M"
2024,"EX","FT","Head of Machine Learning",448000,"USD",448000,"US",100,"US","M"
2023,"SE","FT","Data Scientist",155000,"USD",155000,"US",100,"US","M"
2023,"SE","FT","Data Architect",190000,"USD",190000,"US",0,"US","M"
2023,"MI","FT","Data Scientist",150000,"USD",150000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",90000,"USD",90000,"US",0,"US","M"
2023,"SE","FT","Machine Learning Scientist",105500,"USD",105500,"US",0,"US","M"
2024,"MI","FT","Research Engineer",96800,"USD",96800,"US",0,"US","M"
2023,"SE","FT","Machine Learning Engineer",280000,"USD",280000,"US",0,"US","M"
2023,"MI","FT","Data Analyst",90500,"USD",90500,"US",0,"US","M"
2023,"SE","FT","Data Engineer",145000,"USD",145000,"US",0,"US","M"
2023,"MI","FT","Research Scientist",150000,"USD",150000,"US",0,"US","M"
2022,"SE","FT","Analytics Engineer",75000,"GBP",92350,"GB",0,"GB","M"
2024,"MI","FT","Data Scientist",162000,"USD",162000,"US",0,"US","M"
2023,"SE","FT","Data Scientist",185000,"USD",185000,"US",0,"US","M"
2024,"SE","FT","Research Scientist",333500,"USD",333500,"US",0,"US","M"
2023,"SE","FT","Data Analyst",106020,"USD",106020,"US",0,"US","M"
2023,"SE","FT","Research Scientist",374000,"USD",374000,"US",0,"US","M"
2021,"MI","FT","Data Scientist",1250000,"INR",16904,"IN",100,"IN","S"
2024,"SE","FT","Machine Learning Engineer",179000,"USD",179000,"US",0,"US","M"
2023,"SE","FT","Applied Scientist",216000,"USD",216000,"US",100,"US","M"
2024,"MI","FT","Data Scientist",37440,"EUR",41600,"LV",0,"LV","M"
2024,"MI","FT","Applied Scientist",222200,"USD",222200,"US",0,"US","L"
2024,"SE","FT","Machine Learning Engineer",418000,"USD",418000,"US",100,"US","M"
2023,"SE","FT","Data Analyst",65000,"USD",65000,"US",0,"US","M"
2024,"SE","FT","Data Engineer",95000,"GBP",118750,"GB",0,"GB","M"
2023,"SE","FT","Data Analyst",100000,"USD",100000,"US",100,"US","M"
2022,"SE","FT","ETL Developer",63000,"USD",63000,"US",100,"US","M"
2022,"SE","FT","Data Analyst",150000,"USD",150000,"US",0,"US","M"
2024,"SE","FT","Data Scientist",212000,"USD",212000,"US",0,"US","M"
2022,"SE","FT","Analytics Engineer",110000,"USD",110000,"US",100,"US","M"
2021,"MI","FT","Principal Data Scientist",151000,"USD",151000,"US",100,"US","L"
2023,"SE","FT","Data Analyst",204500,"USD",204500,"US",0,"US","M"
2023,"SE","FT","Data Architect",110000,"USD",110000,"US",100,"US","M"
2023,"SE","FT","Machine Learning Engineer",218540,"USD",218540,"US",0,"US","M"
2021,"SE","FT","Marketing Data Analyst",75000,"EUR",88654,"GR",100,"DK","L"
2023,"SE","FT","Data Engineer",144000,"USD",144000,"US",100,"US","M"
2024,"SE","FT","Data Scientist",139000,"USD",139000,"US",0,"US","M"
2023,"SE","FT","Data Architect",204000,"USD",204000,"US",100,"US","M"
2024,"SE","FT","Data Analyst",115000,"USD",115000,"US",0,"US","M"
2022,"SE","FT","Data Engineer",145000,"USD",145000,"US",0,"US","M"
2023,"SE","FT","Data Scientist",222000,"USD",222000,"US",100,"US","M"
2023,"SE","FT","Data Science Consultant",122000,"USD",122000,"US",0,"US","M"
2023,"SE","FT","Machine Learning Engineer",200000,"USD",200000,"US",100,"US","M"
2022,"EN","FT","Data Engineer",65000,"USD",65000,"US",100,"US","S"
2023,"SE","FT","Data Engineer",159000,"USD",159000,"US",0,"US","M"
2024,"SE","FT","AI Architect",173000,"USD",173000,"US",0,"US","M"
2024,"MI","FT","BI Developer",34903,"GBP",43628,"GB",0,"GB","M"
2024,"SE","FT","Data Analytics Lead",239300,"USD",239300,"US",0,"US","M"
2024,"SE","FT","Machine Learning Engineer",132300,"USD",132300,"US",0,"US","M"
2024,"SE","FT","Research Scientist",440000,"USD",440000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",95000,"USD",95000,"US",100,"US","M"
2022,"MI","FT","Data Scientist",150000,"PLN",33609,"PL",100,"PL","L"
2023,"SE","FT","Analytics Engineer",116710,"USD",116710,"US",100,"US","M"
2022,"SE","FT","Lead Data Scientist",4460000,"INR",56723,"IN",0,"IN","L"
2023,"SE","FT","Analytics Engineer",128000,"USD",128000,"US",100,"US","M"
2023,"MI","FT","Data Analyst",58500,"USD",58500,"US",0,"US","M"
2023,"SE","FT","Data Lead",350000,"USD",350000,"US",0,"US","M"
2023,"SE","FT","Data Analyst",75000,"USD",75000,"US",0,"US","M"
2024,"MI","FT","Data Scientist",105646,"USD",105646,"US",0,"US","M"
2023,"MI","FT","Data Analyst",73100,"USD",73100,"US",0,"US","M"
2024,"SE","FT","Data Engineer",50750,"GBP",63437,"GB",0,"GB","M"
2021,"SE","FT","Lead Data Engineer",160000,"USD",160000,"PR",50,"US","S"
2023,"MI","FT","Data Analyst",80000,"USD",80000,"US",0,"US","M"
2023,"SE","FT","Data Scientist",100000,"USD",100000,"US",0,"US","M"
2024,"EN","FT","Data Engineer",162240,"USD",162240,"US",0,"US","M"
2024,"EN","FT","Data Analyst",103000,"USD",103000,"US",100,"US","M"
2023,"EX","FT","Head of Data",269600,"USD",269600,"US",100,"US","M"
2024,"MI","FT","Data Engineer",154000,"USD",154000,"US",0,"US","M"
2023,"MI","FT","Data Analyst",104000,"USD",104000,"US",0,"US","M"
2024,"SE","FT","Research Scientist",123765,"USD",123765,"US",100,"US","M"
2024,"SE","FT","Data Architect",138000,"USD",138000,"US",0,"US","M"
2023,"SE","FT","Data Scientist",202000,"USD",202000,"US",0,"US","M"
2023,"MI","FT","Data Engineer",129300,"USD",129300,"US",0,"US","M"
2024,"SE","FT","Data Engineer",180000,"USD",180000,"US",0,"US","M"
2024,"EX","FT","Data Scientist",100000,"USD",100000,"US",0,"US","M"
2024,"SE","FT","Business Intelligence Engineer",106500,"USD",106500,"US",0,"US","M"
2020,"EN","FT","Data Analyst",91000,"USD",91000,"US",100,"US","L"
2024,"MI","FT","Data Analyst",134500,"USD",134500,"US",0,"US","M"
2024,"SE","FT","Business Intelligence Developer",104828,"USD",104828,"US",0,"US","M"
2023,"MI","FT","Data Specialist",80000,"USD",80000,"US",0,"US","M"
2023,"SE","FT","Data Analyst",93918,"USD",93918,"US",0,"US","M"
2022,"MI","FT","Data Scientist",2500000,"INR",31795,"IN",100,"US","M"
2022,"SE","FT","Data Analyst",90320,"USD",90320,"US",0,"US","M"
2022,"SE","FT","Data Architect",192564,"USD",192564,"US",100,"US","M"
2023,"SE","FT","Applied Scientist",136000,"USD",136000,"US",0,"US","L"
2023,"SE","FT","Data Engineer",226700,"USD",226700,"US",0,"US","M"
2022,"SE","FT","Data Scientist",136994,"USD",136994,"US",100,"US","M"
2024,"EX","FT","ML Engineer",238500,"USD",238500,"US",0,"US","M"
2021,"MI","FT","Machine Learning Engineer",43200,"EUR",51064,"IT",50,"IT","L"
2023,"SE","FT","BI Analyst",130800,"USD",130800,"US",100,"US","M"
2023,"MI","FT","Data Analyst",75000,"USD",75000,"US",0,"US","M"
2024,"SE","FT","Prompt Engineer",600000,"USD",600000,"US",0,"US","M"
2023,"SE","FT","Head of Data",258500,"USD",258500,"US",100,"US","M"
2023,"MI","FT","Data Manager",120000,"USD",120000,"US",0,"US","M"
2024,"SE","FT","Data Modeler",112000,"USD",112000,"US",0,"US","M"
2023,"SE","FT","Analytics Engineer",138000,"USD",138000,"US",0,"US","M"
2023,"SE","FT","Machine Learning Engineer",210000,"USD",210000,"US",0,"US","M"
2024,"MI","FT","Data Scientist",68740,"USD",68740,"US",0,"US","M"
2023,"SE","FT","Data Analyst",192000,"USD",192000,"US",100,"US","M"
2023,"SE","FT","Applied Scientist",196000,"USD",196000,"US",100,"US","M"
2022,"SE","FT","Data Specialist",110000,"USD",110000,"US",0,"US","M"
2022,"SE","FT","Data Engineer",97000,"USD",97000,"US",100,"US","M"
2024,"SE","FT","Data Engineer",185500,"USD",185500,"US",100,"US","M"
2023,"SE","FT","Data Scientist",146000,"USD",146000,"US",0,"US","M"
2023,"SE","FT","Research Scientist",370000,"USD",370000,"US",0,"US","M"
2023,"SE","FT","Machine Learning Engineer",150000,"USD",150000,"US",0,"US","M"
2023,"EX","FT","Head of Machine Learning",330000,"USD",330000,"US",0,"US","M"
2023,"SE","FT","Business Intelligence Engineer",172200,"USD",172200,"US",0,"US","M"
